영화명,개봉일,매출액,매출액 점유율,관객수,스크린수,상영횟수
서울의 봄,2023-11-22,115350491410,9.1%,11854779,2463,292299
범죄도시3,2023-05-31,104687737771,8.3%,10682813,2582,311915
엘리멘탈,2023-06-14,71120500040,5.6%,7238453,1664,247169
스즈메의 문단속,2023-03-08,57106531498,4.5%,5574358,1572,244575
밀수,2023-07-26,49685009003,3.9%,5143219,1932,167669
더 퍼스트 슬램덩크,2023-01-04,50057140100,4.0%,4786406,1060,231062
가디언즈 오브 갤럭시: Volume 3,2023-05-03,44357156661,3.5%,4209118,1819,153711
미션 임파서블: 데드 레코닝 PART ONE,2023-07-12,40428788113,3.2%,4022072,2437,137933
콘크리트 유토피아,2023-08-09,37412802232,3.0%,3849242,1731,150918
아바타: 물의 길,2022-12-14,47350889697,3.8%,3491920,2047,130410
노량: 죽음의 바다,2023-12-20,34032608940,2.7%,3438133,2196,81643
오펜하이머,2023-08-15,34375467901,2.7%,3232774,1636,131798
슈퍼 마리오 브라더스,2023-04-26,23558835482,1.9%,2395519,1576,94685
30일,2023-10-03,21256881514,1.7%,2165358,1226,130509
그대들은 어떻게 살 것인가,2023-10-25,19540266642,1.5%,2009398,1733,119191
존 윅 4,2023-04-12,19956652129,1.6%,1924768,1535,89561
천박사 퇴마 연구소: 설경의 비밀,2023-09-27,18635492555,1.5%,1916429,1511,98823
영웅,2022-12-21,17768606427,1.4%,1787536,1099,88177
분노의 질주: 라이드 오어 다이,2023-05-17,18474198210,1.5%,1773424,1731,93148
교섭,2023-01-18,17460908740,1.4%,1721100,1289,92618
앤트맨과 와스프: 퀀텀매니아,2023-02-15,16346738806,1.3%,1551129,2090,104768
잠,2023-09-06,13894258933,1.1%,1470359,1231,103697
달짝지근해: 7510,2023-08-15,13445519901,1.1%,1388309,1032,86601
드림,2023-04-26,10821044597,0.9%,1128375,1285,61736
비공식작전,2023-08-02,10192841216,0.8%,1058745,1151,45082
1947 보스톤,2023-09-27,9464132798,0.8%,1026878,1282,63548
스파이더맨: 어크로스 더 유니버스,2023-06-21,9492413667,0.8%,920169,1103,47139
인디아나 존스: 운명의 다이얼,2023-06-28,8504251466,0.7%,860470,1268,46174
장화신은 고양이: 끝내주는 모험,2023-01-04,7872245363,0.6%,831209,924,43468
명탐정코난: 흑철의 어영,2023-07-20,7705318105,0.6%,801511,1030,34473
트랜스포머: 비스트의 서막,2023-06-06,7786907316,0.6%,769993,1123,45195
대외비,2023-03-01,7469378721,0.6%,756355,1157,53616
극장판 짱구는 못말려: 동물소환 닌자 배꼽수비대,2023-05-04,7262598609,0.6%,732188,844,28899
아쿠아맨과 로스트 킹덤,2023-12-20,7459599772,0.6%,722986,965,25387
프레디의 피자가게,2023-11-15,6959703516,0.6%,712241,1041,35024
리바운드,2023-04-05,6702452348,0.5%,699243,1154,56697
더 마블스,2023-11-08,6841156465,0.5%,690814,1532,66818
귀공자,2023-06-21,6704211465,0.5%,682856,966,44887
유령,2023-01-18,6760765879,0.5%,664146,1099,46961
인어공주,2023-05-24,6668613190,0.5%,647706,1364,37592
플래시,2023-06-14,6735756989,0.5%,635269,1258,43343
바비,2023-07-19,5752206126,0.5%,585502,780,27520
신차원! 짱구는 못말려 더 무비 초능력 대결전 ~날아라 수제김밥~,2023-12-22,5506327689,0.4%,568269,883,15379
"귀멸의 칼날: 상현집결, 그리고 도공 마을로",2023-03-02,6586552900,0.5%,535969,410,20955
더 문,2023-08-02,5207712778,0.4%,516556,1187,30181
"오늘 밤, 세계에서 이 사랑이 사라진다 해도",2022-11-30,5198084474,0.4%,514915,402,27669
3일의 휴가,2023-12-06,4835070689,0.4%,514541,863,31547
소년들,2023-11-01,4470423586,0.4%,471425,1042,43356
타이타닉,1998-02-20,6528961730,0.5%,454336,447,14296
타겟,2023-08-30,4003424694,0.3%,424916,986,43332
